2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 257
2016-11-08 9:38:53 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 258
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 149
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 151
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 157
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 163
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 164
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 166
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 187
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 197
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 199
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 201
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 202
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 203
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 204
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 206
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 207
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 212
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 220
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 235
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 236
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 255
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 257
2016-11-08 9:44:59 - PHP Notice:  Indirect modification of overloaded property ControllerLocalisationCity::$data has no effect in /home/bimasakti/eclipseWorkSpace/oc/admin/controller/localisation/city.php on line 258
2016-11-08 9:44:59 - PHP Notice:  Undefined variable: username in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/common/column_left.tpl on line 5
2016-11-08 9:44:59 - PHP Notice:  Undefined variable: breadcrumbs in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/localisation/city_list.tpl on line 4
2016-11-08 9:44:59 - PHP Warning:  Invalid argument supplied for foreach() in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/localisation/city_list.tpl on line 4
2016-11-08 9:44:59 - PHP Notice:  Undefined variable: error_warning in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/localisation/city_list.tpl on line 8
2016-11-08 9:44:59 - PHP Notice:  Undefined variable: success in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/localisation/city_list.tpl on line 11
2016-11-08 9:44:59 - PHP Notice:  Undefined variable: heading_title in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/localisation/city_list.tpl on line 16
2016-11-08 9:44:59 - PHP Notice:  Undefined variable: insert in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/localisation/city_list.tpl on line 17
2016-11-08 9:44:59 - PHP Notice:  Undefined variable: button_insert in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/localisation/city_list.tpl on line 17
2016-11-08 9:44:59 - PHP Notice:  Undefined variable: button_delete in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/localisation/city_list.tpl on line 17
2016-11-08 9:44:59 - PHP Notice:  Undefined variable: delete in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/localisation/city_list.tpl on line 20
2016-11-08 9:44:59 - PHP Notice:  Undefined variable: sort_zone in /home/bimasakti/eclipseWorkSpace/oc/admin/view/template/localisation/city_list.tpl on line 26
